 15 12 10 8 6 4 2 0 -1 -2 -3 -5
13,7495 0,70427 0,462404 0,604693 0,7214 0,721937 0,510962 0,550594 0,272565 0,319092 0,635076 0,579315 0,146175
13,766 0,719174 0,44953 0,598705 0,717209 0,730114 0,522583 0,566909 0,269299 0,316155 0,634027 0,574583 0,136157
13,7826 0,735481 0,437009 0,59397 0,713088 0,738221 0,539418 0,584221 0,273753 0,318558 0,633153 0,574583 0,135246
13,7992 0,753191 0,423711 0,590976 0,710853 0,746189 0,559771 0,605592 0,277316 0,320961 0,64207 0,567598 0,137067
13,8159 0,76629 0,407229 0,585057 0,704707 0,750762 0,57736 0,621754 0,2788 0,318558 0,644343 0,557909 0,134335
13,8326 0,779723 0,390535 0,578163 0,698142 0,755335 0,595578 0,635236 0,282363 0,323098 0,650813 0,55498 0,12796
13,8494 0,790349 0,373205 0,568623 0,687037 0,756513 0,611094 0,645423 0,282067 0,323632 0,647841 0,551149 0,130692
13,8662 0,801176 0,355167 0,559989 0,67684 0,757622 0,625165 0,66059 0,282957 0,328705 0,65396 0,549347 0,117942
13,8831 0,810867 0,3372 0,551146 0,666923 0,760047 0,640304 0,671543 0,284442 0,327637 0,651862 0,546417 0,119763
13,9 0,821359 0,319092 0,536383 0,657424 0,756305 0,653559 0,681731 0,282957 0,325234 0,649239 0,535602 0,111111
13,917 0,829245 0,302752 0,520577 0,648065 0,753742 0,663484 0,691536 0,287411 0,33004 0,644169 0,526814 0,102914
13,934 0,838535 0,289029 0,505954 0,642199 0,749792 0,673158 0,701111 0,298397 0,330841 0,634377 0,515322 0,0983607
13,9511 0,847424 0,276862 0,490774 0,635564 0,746397 0,683523 0,714133 0,305819 0,338051 0,633677 0,513745 0,107013
13,9682 0,854508 0,264908 0,472251 0,626833 0,739676 0,691752 0,721869 0,308195 0,338318 0,626158 0,498873 0,0910747
13,9854 0,862594 0,25557 0,4554 0,620687 0,735449 0,704127 0,724933 0,313242 0,342323 0,63018 0,496845 0,101548
14,0027 0,868075 0,247011 0,435207 0,611398 0,730876 0,709153 0,726695 0,309382 0,338852 0,625984 0,487156 0,102914
14,02 0,87155 0,23916 0,41564 0,600782 0,723115 0,710283 0,725316 0,306116 0,326836 0,61864 0,476791 0,103825
14,0374 0,878567 0,233642 0,398301 0,593658 0,717988 0,711602 0,726695 0,307601 0,324967 0,619689 0,465976 0,114299
14,0548 0,881842 0,230671 0,381032 0,583531 0,708911 0,710032 0,72432 0,305226 0,320961 0,613219 0,45854 0,118852
14,0722 0,88378 0,227276 0,365852 0,572566 0,703368 0,707708 0,722252 0,309086 0,320961 0,616541 0,457639 0,126138
14,0898 0,88672 0,225437 0,349558 0,560623 0,697894 0,709027 0,722022 0,300772 0,314553 0,602728 0,4484 0,122951
14,1073 0,891399 0,226356 0,337163 0,549378 0,695191 0,712419 0,721946 0,306413 0,321495 0,600629 0,447499 0,129326
14,125 0,896812 0,229469 0,327763 0,537086 0,695261 0,714241 0,722329 0,309976 0,33004 0,595034 0,445246 0,130692
14,1426 0,904431 0,231166 0,317666 0,525003 0,697131 0,716754 0,725239 0,312648 0,341255 0,599056 0,449752 0,130237
14,1604 0,908708 0,234845 0,308057 0,511594 0,69824 0,718764 0,728457 0,316211 0,355407 0,590663 0,443443 0,132969
14,1782 0,914255 0,241211 0,30172 0,499302 0,697824 0,723035 0,727231 0,313539 0,358077 0,586991 0,441866 0,136157
14,196 0,919067 0,244465 0,297333 0,487778 0,697201 0,72649 0,725699 0,317993 0,36235 0,58227 0,436683 0,130237
14,2139 0,922743 0,250619 0,293712 0,474647 0,694221 0,731453 0,720797 0,325416 0,372764 0,577548 0,439387 0,132969
14,2319 0,925216 0,256207 0,293294 0,461028 0,686807 0,731579 0,718116 0,329572 0,383979 0,577024 0,440063 0,14071
14,2499 0,92027 0,257905 0,286818 0,442799 0,674335 0,723789 0,706013 0,3269 0,377837 0,563385 0,433303 0,12796
14,268 0,917931 0,261937 0,284242 0,423593 0,658745 0,713801 0,696974 0,332839 0,379439 0,554992 0,425868 0,132969
14,2862 0,912584 0,265474 0,278602 0,403408 0,638442 0,706326 0,681348 0,335511 0,383979 0,542927 0,418432 0,135246
14,3043 0,903428 0,266605 0,272892 0,381618 0,615992 0,695647 0,662275 0,338183 0,377036 0,525966 0,404912 0,145719
14,3226 0,889193 0,267171 0,263979 0,359338 0,585643 0,676299 0,635465 0,334026 0,359947 0,505858 0,387337 0,144809
14,3409 0,872018 0,265756 0,254857 0,337058 0,553423 0,657391 0,602604 0,322744 0,342323 0,482602 0,376296 0,147541
14,3593 0,853839 0,265261 0,247337 0,316874 0,521203 0,637917 0,572884 0,319774 0,3247 0,463543 0,363452 0,153916
14,3777 0,832253 0,262644 0,238841 0,298715 0,486973 0,613606 0,543547 0,307898 0,31215 0,44221 0,348355 0,142987
14,3962 0,812137 0,264059 0,235986 0,284537 0,455516 0,594321 0,519877 0,305226 0,307343 0,429096 0,337089 0,145719
14,4147 0,794226 0,267949 0,238424 0,276505 0,430225 0,580878 0,507315 0,304038 0,311081 0,419654 0,337089 0,149818
14,4333 0,784134 0,277216 0,246849 0,272384 0,412625 0,573403 0,49483 0,310273 0,318291 0,420003 0,345426 0,15847
14,452 0,77685 0,287473 0,258826 0,273013 0,399321 0,570136 0,488931 0,311164 0,327904 0,413709 0,353988 0,153916
14,4707 0,771503 0,301266 0,273867 0,274689 0,388373 0,568943 0,485255 0,313242 0,332443 0,409687 0,366607 0,158925
14,4895 0,771503 0,31796 0,291623 0,282023 0,383661 0,568943 0,484336 0,317399 0,33992 0,422102 0,385534 0,168033
14,5083 0,77157 0,338261 0,311817 0,289077 0,379088 0,57089 0,484106 0,325416 0,350067 0,428571 0,405363 0,175774
14,5272 0,769364 0,361816 0,329086 0,297807 0,376524 0,571895 0,487093 0,337589 0,352203 0,437664 0,424516 0,189435
14,5462 0,766624 0,385867 0,346703 0,30961 0,373891 0,569382 0,485484 0,351247 0,365821 0,443434 0,448851 0,204918
14,5652 0,763684 0,412747 0,362231 0,322112 0,373198 0,563666 0,484872 0,36253 0,377837 0,451827 0,467553 0,233151
14,5843 0,758471 0,441395 0,377272 0,33636 0,372298 0,555625 0,484565 0,368765 0,393057 0,46057 0,482875 0,25592
14,6034 0,751855 0,471599 0,391407 0,352843 0,371674 0,545072 0,481884 0,380938 0,40267 0,471411 0,497972 0,286885
14,6226 0,744503 0,50145 0,40798 0,369046 0,373891 0,536968 0,479969 0,394002 0,420561 0,481378 0,519603 0,302823
14,6419 0,736483 0,532928 0,423438 0,385179 0,375346 0,527483 0,474914 0,399941 0,438985 0,495191 0,537855 0,321038
14,6612 0,728464 0,564193 0,440777 0,404107 0,379227 0,518814 0,47522 0,401425 0,449666 0,507781 0,567147 0,326047
14,6806 0,720176 0,592629 0,460483 0,419891 0,382068 0,506941 0,473841 0,405879 0,453939 0,519671 0,588779 0,334699
14,7001 0,711889 0,622692 0,485342 0,436653 0,390729 0,496074 0,474071 0,413896 0,461682 0,533485 0,61379 0,357923
14,7196 0,704337 0,649289 0,512847 0,453764 0,398628 0,490043 0,472692 0,41924 0,46275 0,545725 0,643984 0,368397
14,7392 0,698991 0,675744 0,544948 0,470247 0,411724 0,483133 0,476599 0,435273 0,47263 0,567757 0,678909 0,396175
14,7588 0,691973 0,695338 0,577258 0,482889 0,426136 0,478296 0,47882 0,446259 0,475033 0,585417 0,707301 0,415756
14,7785 0,688097 0,715428 0,613397 0,498114 0,44332 0,475846 0,483876 0,45576 0,480908 0,60028 0,73817 0,455829
14,7983 0,682216 0,732616 0,646961 0,510965 0,45995 0,471638 0,483876 0,453682 0,483578 0,609722 0,760928 0,470401
14,8181 0,680545 0,75023 0,682543 0,529683 0,480668 0,474841 0,488548 0,466746 0,494526 0,619514 0,789995 0,509563
14,838 0,677137 0,764094 0,715688 0,549099 0,497228 0,474967 0,491919 0,471496 0,50494 0,626858 0,812753 0,532331
14,858 0,674865 0,778241 0,74382 0,573474 0,513165 0,478987 0,497204 0,473278 0,516155 0,64277 0,838666 0,564663
14,878 0,673328 0,79055 0,767565 0,599804 0,527924 0,483133 0,504711 0,483076 0,529506 0,659556 0,861199 0,594262
14,8981 0,672191 0,804626 0,786505 0,626344 0,541089 0,481689 0,514592 0,495249 0,538852 0,671096 0,880126 0,621129
14,9182 0,674865 0,818915 0,803983 0,65491 0,550859 0,486965 0,527078 0,504454 0,544726 0,687358 0,901082 0,653916
14,9385 0,674998 0,83476 0,819372 0,685431 0,560144 0,49086 0,53535 0,505048 0,553805 0,706942 0,910996 0,683971
14,9587 0,674196 0,848129 0,830722 0,712669 0,567628 0,493498 0,541555 0,5 0,544459 0,716559 0,915728 0,687158
14,9791 0,677872 0,862276 0,840889 0,740047 0,576012 0,499969 0,55044 0,499406 0,547664 0,732121 0,930825 0,703097
14,9995 0,680211 0,877202 0,849105 0,762746 0,586682 0,503424 0,561471 0,51158 0,54713 0,74541 0,93781 0,717668
